id,product,recommended,shop,uid,api_key,email,order_id,created_at,device,price
295,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,18/08/2023 13:45,desktop,2490
228,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:59,desktop,960000
279,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,18/08/2023 7:29,desktop,960000
231,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:52,desktop,1024
235,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:54,desktop,960000
244,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,17/08/2023 13:16,desktop,1024
377,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,17/08/2023 9:41,desktop,9480
291,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,18/08/2023 13:39,desktop,8190
220,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:19,desktop,9480
243,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:54,desktop,1343
299,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,18/08/2023 13:49,desktop,500
240,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,17/08/2023 13:13,desktop,960000
239,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:54,desktop,3904
287,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,18/08/2023 9:48,desktop,1024
259,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,17/08/2023 7:21,desktop,1173
154,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:45,desktop,3180
275,8.27058E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,17/08/2023 12:14,mobile,960000
224,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,16/08/2023 12:19,desktop,8190
283,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,18/08/2023 7:30,desktop,8190
381,8.27057E+12,TRUE,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,17/08/2023 9:47,desktop,9480
166,8.2391E+12,TRUE,shopcast-testing-store.myshopify.com,Lxvoxl8LzHih,020c4729fa1d4d29bbfdb0987c3a7268,null,null,17/08/2023 11:37,desktop,700
162,8.2391E+12,FALSE,shopcast-testing-store.myshopify.com,Lxvoxl8LzHih,020c4729fa1d4d29bbfdb0987c3a7268,null,null,17/08/2023 11:37,desktop,10
271,8.21959E+12,TRUE,shopcast-testing-store.myshopify.com,Lxvoxl8LzHih,020c4729fa1d4d29bbfdb0987c3a7268,null,null,17/08/2023 12:07,mobile,960
112,8.19372E+12,TRUE,shopcast-app.myshopify.com,g3tZI0M4FwNu,05c5a92ecfcc455ca7f5b3fad2098080,null,null,17/07/2023 13:44,desktop,8190
38,8.19372E+12,TRUE,shopcast-app.myshopify.com,g3tZI0M4FwNu,05c5a92ecfcc455ca7f5b3fad2098080,null,null,17/07/2023 14:36,desktop,9150
91,8.09253E+12,TRUE,shopcast-app.myshopify.com,g3tZI0M4FwNu,05c5a92ecfcc455ca7f5b3fad2098080,null,null,17/07/2023 14:49,desktop,4180
46,8.09253E+12,TRUE,shopcast-app.myshopify.com,g3tZI0M4FwNu,05c5a92ecfcc455ca7f5b3fad2098080,null,null,17/07/2023 14:55,desktop,8490
